26	sicken v. & adj.repel, unsavoriness, pain
25	nauseate v.repel, dislike, pain
23	hatred n.dislike, abhorrence, aversion
22	repel v.dislike, pain, like
21	antipathy n.dislike, aversion, animosity
21	aversion n.dislike, animosity, hate
20	offend v.detest, displease, repel
19	dislike n.hatred, aversion, abhorrence
19	revolt v. & n.aversion, repulsion, repel
18	distaste n.dislike, aversion, apathy
18	loathing n.hate, aversion, repulsion
17	abhorrence n.dislike, loathing, aversion
16	repugnance n.dislike, aversion, repulsion
16	shock v. & n.detest, repel, surprise
13	animosity abhorrence, ageism, dislike
13	detestation n.dislike, aversion, repulsion
13	displease v.detest, unhappy, repel
13	nausea n.aversion, repulsion, dislike
12	abomination n.aversion, repulsion, dislike
12	hate n.dislike, antipathy, abhorrence
12	repulse v.repel, sick
11	repulsion n.antipathy, dislike, hate
11	revulsion n.aversion, repulsion
10	enmity n.hate
10	sickness n.loathing, aversion, repulsion
9	annoy bother, bear, bush
9	gross out v. & phr. v.repel,    
9	pall v.repel, bore, tire
8	disrelish n.dislike, loathing
8	disturb v.repel, displease
8	outrage v. & n.repel
8	scandalize v.detest, repel, calumniate
7	disinclination n.dislike, antipathy, calm
7	put off v. & phr. v.repel,    
7	surfeit n. & v.loathing, aversion, repulsion
7	turn one's stomach  & v  , repel, dislike
6	abominate v.detest, repel
6	antagonism n.hate
6	appal v. & adj.pain
6	disenchant v.repel, pain
6	horrify v.pain, scare
6	odium n.
6	upset v.repel
5	abhor v.detest
5	contempt n.
5	horror n.dislike, fear, revulsion
5	make one sick v. & nauseate, repel, pain
5	tire v.exhaust, weary
5	turn off v. & phr. v.repel,    
4	anger v.displease
4	appall v.pain
4	boredom n.weariness, disinterest
4	bother v.repel, harass, annoy
4	displeasure n.dislike
4	dissatisfaction n.dislike
4	gorge loathing
4	hostility n.
4	satiate detest
4	turn the stomach , pain, unsavoriness
3	allergy
3	animus n.
3	annoyance
3	bore
3	churn up v. v  
3	disaffection n.hate
3	indisposition n.dislike
3	insult v.repel
3	irk v.repel
3	jar v. & n.displease
3	pique v.repel
3	reluct v.repel
3	satiety n.aversion, repulsion, weariness
3	scandalise detest
3	turn dislike
2	averseness dislike
2	cold sweat dislike,    
2	depress
2	detest v.
2	disappoint v.displease
2	disapproval n.dislike
2	disfavor n.
2	dishearten
2	distress
2	drive
2	execration n.
2	fulsomeness n.
2	grate v.displease
2	make sick , dislike
2	malice n.hate
2	mortal horror dislike,    
2	objection n.aversion, repulsion
2	pain
2	rancor n.hate
2	satiation n.aversion, repulsion
2	shuddering dislike
2	weary v.tired
1	acrimony n.hate
1	affront
1	aggrieve v.displease
1	appalled
1	attack n.
1	be repulsive v.repel
1	bitterness n.hate
1	cloy on v.repel
1	cool
1	corrode pain
1	creeping flesh
1	daze n. & v.
1	dejection weariness
1	dement n.
1	despite
1	discontent n.
1	disdain n.
1	disease
1	disesteem n.
1	disgusting adj.
1	disillusion
1	disinterest
1	disliking
1	dismay n.
1	disquiet v.
1	disrespect
1	distract v.
1	ennui weariness
1	fill with loathing v.repel
1	frustrate
1	give offense
1	gloom dejection
1	hatefulness n.aversion, repulsion
1	indifference
1	irritate v.displease
1	loathe v.
